file_path,extension,role,size_bytes,line_count,complexity,sha256,is_suspicious,git_tracked_status
tools/run_audit.py,.py,Tool / Script,17596,404,Medium (>200 lines),3856c6ee4c2209730c1e9d3b398cc25652923db20e92d9f2350b879f10805918,No,Tracked/Audited
web/favicon.png,.png,Platform Native Code/Config,917,17,Low,7ab2525f4b86b65d3e4c70358a17e5a1aaf6f437f99cbcc046dad73d59bb9015,No,Tracked/Audited
web/index.html,.html,Platform Native Code/Config,1593,46,Low,7d6f28cfc7771be56c68990c7270b3b1b471264fe50dd955535d79ea44b7b768,No,Tracked/Audited
web/manifest.json,.json,Platform Native Code/Config,973,35,Low,78ca60e6cf98180fcf8838cf521ed69221521c8b9706af4eb26e35a7a0f4a727,No,Tracked/Audited
web_landing/app-arm64-v8a-release.apk,.apk,Other Project File,106962716,1107534,High (>500 lines),648fd0cea278b481c8941ff143ac1504ee702baabd7526004a17de8be8823955,No,Tracked/Audited
web_landing/app-armeabi-v7a-release.apk,.apk,Other Project File,137134755,1689041,High (>500 lines),ae2aebd08e24bf37e02d4fa2252cad2d638fb87e951497af50e8d3ba3a538e14,No,Tracked/Audited
web_landing/app-x86_64-release.apk,.apk,Other Project File,118117016,746978,High (>500 lines),132616207a6000b7617fadf550fe77f7477df6b0f1e710dff7e79dccc124d7d7,No,Tracked/Audited
web_landing/index.html,.html,Other Project File,25064,638,High (>500 lines),e08ab8b8a033bb25c03a3f1feb6589a00a9fe2e1b4f22f4531789719ca387fc3,No,Tracked/Audited
web_landing/login.html,.html,Other Project File,22551,583,High (>500 lines),b1ab751fc990b7020ae8b93396cbb14ff628ac3fd62b285980052917fc04e8ff,No,Tracked/Audited
web_landing/meta_app_icon.png,.png,Other Project File,637547,3945,High (>500 lines),a64dfa4b2c6214470f7c4afc6117fbe1f2ff057b2ba00c5e26c8cb7504998f8c,No,Tracked/Audited
web_landing/privacy.html,.html,Other Project File,8887,162,Low,e211f02f115bcebd673830292279b8d610885fa5c0a6b47769fed26132d081cf,No,Tracked/Audited
web_landing/terms.html,.html,Other Project File,6320,123,Low,623c2a3f427806fc6ae4cf6c6eee71685acdebcf83d7b53f796629be80d51403,No,Tracked/Audited
web_landing/tiktok-developers-site-verification.txt,.txt,Other Project File,70,1,Low,181b81b70f67e2f3f20dedc8a3969d9ce7466194d1e6ba85b0e590ed35f6e4f4,No,Tracked/Audited
web_landing/tiktok82zSIdGTotmj5M5eUY2QFWzmRnKy3sIP.txt,.txt,Other Project File,70,1,Low,278597f7c775b75123f8cbfb08d439a66b5405bd06112d45b7f2f46968d96e49,No,Tracked/Audited
web_landing/tiktok8EIh0gTFBJvtQX1l3pDMLW2v9QZ4cEfJ.txt,.txt,Other Project File,70,1,Low,f0d888de100b022cb6d7885523e8e0f17d593cb21c878b1492af5d66975d0733,No,Tracked/Audited
web_landing/tiktokdKN2PnIaTP3N0tUYZLP5v52z1631giK7.txt,.txt,Other Project File,70,1,Low,181b81b70f67e2f3f20dedc8a3969d9ce7466194d1e6ba85b0e590ed35f6e4f4,No,Tracked/Audited
web_landing/tiktokhQgODAKp59R0QjOFoKqTAQ3ppMbdYGs6.txt,.txt,Other Project File,70,1,Low,a5472e7cf2e0bb9c0a06b2a9afdff887a3ebacf4870d113c08a50506f5d54c4c,No,Tracked/Audited
web_landing/tiktokJzGAgV3qMHmYAfiDn0vrN5ZvSD9E9Gah.txt,.txt,Other Project File,70,1,Low,59cc6f367d0227cfc4cd5b1447d6ef11362e312cc40f0d620758b1a0afe657d3,No,Tracked/Audited
web_landing/tiktokOdBLWFPTVhedKJuGsZ5FEoocqiqKeiNs.txt,.txt,Other Project File,70,1,Low,523762b79a7c31c73e7d59739c56d14da6e43ba24bb82de8b03d9935d32efe0c,No,Tracked/Audited
web_landing/tiktokSsshszdznLvbVECs2iPO63wWRjmENAOrM.txt,.txt,Other Project File,70,1,Low,2766f239e5e09090f94a08a13daf9401e77842eb7eb14c77fa25ec083d0d0bef,No,Tracked/Audited
web_landing/version.json,.json,Configuration / Rules,557,6,Low,ae87eb135c45c7e82672a7c86ff24118287e2ea1370a1fd4ca6b24863294e797,No,Tracked/Audited
windows/.gitignore,,Platform Native Code/Config,308,17,Low,955e3110cb16494ee76e1cd5df47e2c212309eb94a49a123fe87f718de413cb8,No,Tracked/Audited
windows/CMakeLists.txt,.txt,Platform Native Code/Config,4290,108,Low,bd510036bf3028300a97b33e22935c830529f508b3c0b1b9e9f78ac371b23fef,No,Tracked/Audited
windows/flutter/CMakeLists.txt,.txt,Platform Native Code/Config,3851,109,Low,bd05e3268b2f246bcbafdb778165fe67a7bafdba04eb73599502563a67b8ae7e,No,Tracked/Audited
windows/flutter/generated_plugins.cmake,.cmake,Platform Native Code/Config,1041,39,Low,5756a86a27e4eee381db02fad62daffbc3a60d79374976e0bc3ef1c04f272e01,No,Tracked/Audited
windows/flutter/generated_plugin_registrant.cc,.cc,Platform Native Code/Config,2787,56,Low,af26e06aa78dd566c2f95d764100de8cbc83a28fd2cf100c2f51a06e767cc26e,No,Tracked/Audited
windows/flutter/generated_plugin_registrant.h,.h,Platform Native Code/Config,302,15,Low,dbc11635d7b1ba1887adf40df5b83d634e9c3ab0bee34510c71528bb4d73602a,No,Tracked/Audited
windows/runner/CMakeLists.txt,.txt,Platform Native Code/Config,1836,40,Low,d765fdd05f63ad099e585a2cced0cbff13ec3229b7de68c8681b2107db850089,No,Tracked/Audited
windows/runner/flutter_window.cpp,.cpp,Platform Native Code/Config,2193,71,Low,d615eedc06ae37321e59c2c00c7687d1887dcd97904eb7225fafd8dcb5b83da6,No,Tracked/Audited
windows/runner/flutter_window.h,.h,Platform Native Code/Config,961,33,Low,0252b804f5da380c7709cbe1daff2b8d18daf6c49d7e6dd43e5af3c99c19f56c,No,Tracked/Audited
windows/runner/main.cpp,.cpp,Platform Native Code/Config,1330,43,Low,340db2f072c8a343698f491ccdce89bcdf151aeca73903a26abfd9b18ac368f3,No,Tracked/Audited
windows/runner/resource.h,.h,Platform Native Code/Config,448,16,Low,d0e8bf7835468b4b6b1f8f0747f2e8f25c19841f2df2ac60aaa584ddae3aa7c6,No,Tracked/Audited
windows/runner/runner.exe.manifest,.manifest,Platform Native Code/Config,616,14,Low,639a56233fcd8cbcb8bbefcd93e4680ec2664f32d9acfb3d2ec1d8726a96e090,No,Tracked/Audited
windows/runner/Runner.rc,.rc,Platform Native Code/Config,3222,121,Low,62ab2df5542f66b612deb9d1dc17bc5e62a6a0faa9f72267ee8283269bce790b,No,Tracked/Audited
windows/runner/utils.cpp,.cpp,Platform Native Code/Config,1862,65,Low,fbb18524c22593d0ce7869b0733e237be38e668fe045e3023bcf2d0b31784fa3,No,Tracked/Audited
windows/runner/utils.h,.h,Platform Native Code/Config,691,19,Low,832e246b6758253f89016fb0374b30791242e97ad950d27fc678b3d9feacfdc4,No,Tracked/Audited
windows/runner/win32_window.cpp,.cpp,Platform Native Code/Config,8822,288,Medium (>200 lines),4e4f4dcf8e86ea6e097562cb3476039e693449bd8045367538afee579c017511,No,Tracked/Audited
windows/runner/win32_window.h,.h,Platform Native Code/Config,3624,102,Low,d154cf89ba85f820631a9b5bedacbe64fc5815e428fe6bc5da579ce649f69841,No,Tracked/Audited
